transaction_id,account_from,account_to,iban_from,iban_to,amount,currency,transaction_ts,branch_id,channel,customer_document,card_number,updated_at,cdc_operation
TXN-20260825-000001,ACC-100000,ACC-700000,PE63FINA0000000000100000,PE25FINA0000000000700000,18814.23,USD,2026-08-25T06:00:00-05:00,LIM001,ATM,70000000,4556000000000000,2026-08-25T06:01:00-05:00,I
TXN-20260825-000002,ACC-100001,ACC-700001,PE64FINA0000000000100001,PE26FINA0000000000700001,12500.73,PEN,2026-08-25T06:02:00-05:00,LIM001,ATM,70000001,4556000000000001,2026-08-25T06:03:00-05:00,I
TXN-20260825-000003,ACC-100002,ACC-700002,PE65FINA0000000000100002,PE27FINA0000000000700002,10743.76,PEN,2026-08-25T06:04:00-05:00,LIM001,ATM,70000002,4556000000000002,2026-08-25T06:05:00-05:00,I
TXN-20260825-000004,ACC-100003,ACC-700003,PE66FINA0000000000100003,PE28FINA0000000000700003,11246.33,PEN,2026-08-25T06:06:00-05:00,LIM001,ATM,70000003,4556000000000003,2026-08-25T06:07:00-05:00,I
TXN-20260825-000005,ACC-100004,ACC-700004,PE67FINA0000000000100004,PE29FINA0000000000700004,934.24,PEN,2026-08-25T06:08:00-05:00,LIM001,ATM,70000004,4556000000000004,2026-08-25T06:09:00-05:00,I
TXN-20260825-000006,ACC-100005,ACC-700005,PE68FINA0000000000100005,PE30FINA0000000000700005,2849.46,PEN,2026-08-25T06:10:00-05:00,LIM001,ATM,70000005,4556000000000005,2026-08-25T06:11:00-05:00,I
TXN-20260825-000007,ACC-100006,ACC-700006,PE69FINA0000000000100006,PE31FINA0000000000700006,19297.74,PEN,2026-08-25T06:12:00-05:00,LIM001,ATM,70000006,4556000000000006,2026-08-25T06:13:00-05:00,I
TXN-20260825-000008,ACC-100007,ACC-700007,PE70FINA0000000000100007,PE32FINA0000000000700007,22769.92,PEN,2026-08-25T06:14:00-05:00,LIM001,ATM,70000007,4556000000000007,2026-08-25T06:15:00-05:00,I
TXN-20260825-000009,ACC-100008,ACC-700008,PE71FINA0000000000100008,PE33FINA0000000000700008,22256.84,PEN,2026-08-25T06:16:00-05:00,LIM001,ATM,70000008,4556000000000008,2026-08-25T06:17:00-05:00,I
TXN-20260825-000010,ACC-100009,ACC-700009,PE72FINA0000000000100009,PE34FINA0000000000700009,3993.7,PEN,2026-08-25T06:18:00-05:00,LIM001,ATM,70000009,4556000000000009,2026-08-25T06:19:00-05:00,I
