transaction_id,account_from,account_to,iban_from,iban_to,amount,currency,transaction_ts,branch_id,channel,customer_document,card_number,updated_at,cdc_operation
TXN-20260825-000081,ACC-100080,ACC-700080,PE54FINA0000000000100080,PE16FINA0000000000700080,10886.4,USD,2026-08-25T08:40:00-05:00,AQP001,ATM,70000080,4556000000000080,2026-08-25T08:41:00-05:00,I
TXN-20260825-000082,ACC-100081,ACC-700081,PE55FINA0000000000100081,PE17FINA0000000000700081,-6496.32,PEN,2026-08-25T08:42:00-05:00,AQP001,ATM,70000081,4556000000000081,2026-08-25T08:43:00-05:00,I
TXN-20260825-000083,ACC-100082,ACC-700082,PE56FINA0000000000100082,PE18FINA0000000000700082,2414.94,PEN,2026-08-25T08:44:00-05:00,AQP001,ATM,70000082,4556000000000082,2026-08-25T08:45:00-05:00,I
TXN-20260825-000084,ACC-100083,ACC-700083,PE57FINA0000000000100083,PE19FINA0000000000700083,4102.43,PEN,2026-08-25T08:46:00-05:00,AQP001,ATM,70000083,4556000000000083,2026-08-25T08:47:00-05:00,I
TXN-20260825-000085,ACC-100084,ACC-700084,PE58FINA0000000000100084,PE20FINA0000000000700084,11173.5,PEN,2026-08-25T08:48:00-05:00,AQP001,ATM,70000084,4556000000000084,2026-08-25T08:49:00-05:00,I
TXN-20260825-000086,ACC-100085,ACC-700085,PE59FINA0000000000100085,PE21FINA0000000000700085,10036.08,PEN,2026-08-25T08:50:00-05:00,AQP001,ATM,70000085,4556000000000085,2026-08-25T08:51:00-05:00,I
TXN-20260825-000087,ACC-100086,ACC-700086,PE60FINA0000000000100086,PE22FINA0000000000700086,2039.07,PEN,2026-08-25T08:52:00-05:00,AQP001,ATM,70000086,4556000000000086,2026-08-25T08:53:00-05:00,I
TXN-20260825-000088,ACC-100087,ACC-700087,PE61FINA0000000000100087,PE23FINA0000000000700087,7485.84,PEN,2026-08-25T08:54:00-05:00,AQP001,ATM,70000087,4556000000000087,2026-08-25T08:55:00-05:00,I
TXN-20260825-000089,ACC-100088,ACC-700088,PE62FINA0000000000100088,PE24FINA0000000000700088,-10321.93,PEN,2026-08-25T08:56:00-05:00,AQP001,ATM,70000088,4556000000000088,2026-08-25T08:57:00-05:00,I
TXN-20260825-000090,ACC-100089,ACC-700089,PE63FINA0000000000100089,PE25FINA0000000000700089,15762.8,PEN,2026-08-25T08:58:00-05:00,AQP001,ATM,70000089,4556000000000089,2026-08-25T08:59:00-05:00,I
TXN-20260825-000091,ACC-100090,ACC-700090,PE64FINA0000000000100090,PE26FINA0000000000700090,19498.57,USD,2026-08-25T09:00:00-05:00,AQP001,ATM,70000090,4556000000000090,2026-08-25T09:01:00-05:00,I
TXN-20260825-000092,ACC-100091,ACC-700091,PE65FINA0000000000100091,PE27FINA0000000000700091,5691.46,PEN,2026-08-25T09:02:00-05:00,AQP001,ATM,70000091,4556000000000091,2026-08-25T09:03:00-05:00,I
TXN-20260825-000093,ACC-100092,ACC-700092,PE66FINA0000000000100092,PE28FINA0000000000700092,13445.42,PEN,2026-08-25T09:04:00-05:00,AQP001,ATM,70000092,4556000000000092,2026-08-25T09:05:00-05:00,I
TXN-20260825-000094,ACC-100093,ACC-700093,PE67FINA0000000000100093,PE29FINA0000000000700093,10508.84,PEN,2026-08-25T09:06:00-05:00,AQP001,ATM,70000093,4556000000000093,2026-08-25T09:07:00-05:00,I
TXN-20260825-000095,ACC-100094,ACC-700094,PE68FINA0000000000100094,PE30FINA0000000000700094,8021.36,PEN,2026-08-25T09:08:00-05:00,AQP001,ATM,70000094,4556000000000094,2026-08-25T09:09:00-05:00,I
TXN-20260825-000096,ACC-100095,ACC-700095,PE69FINA0000000000100095,PE31FINA0000000000700095,-16737.44,PEN,2026-08-25T09:10:00-05:00,AQP001,ATM,70000095,4556000000000095,2026-08-25T09:11:00-05:00,I
TXN-20260825-000097,ACC-100096,ACC-700096,PE70FINA0000000000100096,PE32FINA0000000000700096,15371.01,PEN,2026-08-25T09:12:00-05:00,AQP001,ATM,70000096,4556000000000096,2026-08-25T09:13:00-05:00,I
TXN-20260825-000098,ACC-100097,ACC-700097,PE71FINA0000000000100097,PE33FINA0000000000700097,14729.27,PEN,2026-08-25T09:14:00-05:00,AQP001,ATM,70000097,4556000000000097,2026-08-25T09:15:00-05:00,I
TXN-20260825-000099,ACC-100098,ACC-700098,PE72FINA0000000000100098,PE34FINA0000000000700098,5083.37,PEN,2026-08-25T09:16:00-05:00,AQP001,ATM,70000098,4556000000000098,2026-08-25T09:17:00-05:00,I
TXN-20260825-000100,ACC-100099,ACC-700099,PE73FINA0000000000100099,PE35FINA0000000000700099,18796.01,PEN,2026-08-25T09:18:00-05:00,AQP001,ATM,70000099,4556000000000099,2026-08-25T09:19:00-05:00,I
TXN-20260825-000101,ACC-100100,ACC-700100,PE74FINA0000000000100100,PE36FINA0000000000700100,13180.1,USD,2026-08-25T09:20:00-05:00,AQP001,ATM,70000100,4556000000000100,2026-08-25T09:21:00-05:00,I
TXN-20260825-000102,ACC-100101,ACC-700101,,PE37FINA0000000000700101,23775.54,PEN,2026-08-25T09:22:00-05:00,AQP001,ATM,70000101,4556000000000101,2026-08-25T09:23:00-05:00,I
TXN-20260825-000103,ACC-100102,ACC-700102,PE76FINA0000000000100102,PE38FINA0000000000700102,22215.34,PEN,2026-08-25T09:24:00-05:00,AQP001,ATM,70000102,4556000000000102,2026-08-25T09:25:00-05:00,I
TXN-20260825-000104,ACC-100103,ACC-700103,PE77FINA0000000000100103,PE39FINA0000000000700103,14308.14,PEN,2026-08-25T09:26:00-05:00,AQP001,ATM,70000103,4556000000000103,2026-08-25T09:27:00-05:00,I
TXN-20260825-000105,ACC-100104,ACC-700104,PE78FINA0000000000100104,PE40FINA0000000000700104,5034.4,PEN,2026-08-25T09:28:00-05:00,AQP001,ATM,70000104,4556000000000104,2026-08-25T09:29:00-05:00,I
TXN-20260825-000106,ACC-100105,ACC-700105,PE79FINA0000000000100105,PE41FINA0000000000700105,21548.53,PEN,2026-08-25T09:30:00-05:00,AQP001,ATM,70000105,4556000000000105,2026-08-25T09:31:00-05:00,I
TXN-20260825-000107,ACC-100106,ACC-700106,PE80FINA0000000000100106,PE42FINA0000000000700106,22172.39,PEN,2026-08-25T09:32:00-05:00,AQP001,ATM,70000106,4556000000000106,2026-08-25T09:33:00-05:00,I
TXN-20260825-000108,ACC-100107,ACC-700107,PE81FINA0000000000100107,PE43FINA0000000000700107,18342.69,PEN,2026-08-25T09:34:00-05:00,AQP001,ATM,70000107,4556000000000107,2026-08-25T09:35:00-05:00,I
TXN-20260825-000109,ACC-100108,ACC-700108,,PE44FINA0000000000700108,19187.87,PEN,2026-08-25T09:36:00-05:00,AQP001,ATM,70000108,4556000000000108,2026-08-25T09:37:00-05:00,I
TXN-20260825-000110,ACC-100109,ACC-700109,PE83FINA0000000000100109,PE45FINA0000000000700109,3742.0,PEN,2026-08-25T09:38:00-05:00,AQP001,ATM,70000109,4556000000000109,2026-08-25T09:39:00-05:00,I
