transaction_id,account_from,account_to,iban_from,iban_to,amount,currency,transaction_ts,branch_id,channel,customer_document,card_number,updated_at,cdc_operation
TXN-20260825-000161,ACC-100160,ACC-700160,PE45FINA0000000000100160,PE96FINA0000000000700160,13238.46,USD,2026-08-25T11:20:00-05:00,TRU001,ATM,70000160,4556000000000160,2026-08-25T11:21:00-05:00,I
TXN-20260825-000162,ACC-100161,ACC-700161,PE46FINA0000000000100161,PE97FINA0000000000700161,6318.26,PEN,2026-08-25T11:22:00-05:00,TRU001,ATM,70000161,4556000000000161,2026-08-25T11:23:00-05:00,I
TXN-20260825-000163,ACC-100162,ACC-700162,PE47FINA0000000000100162,PE98FINA0000000000700162,5467.47,PEN,2026-08-25T11:24:00-05:00,TRU001,ATM,70000162,4556000000000162,2026-08-25T11:25:00-05:00,I
TXN-20260825-000164,ACC-100163,ACC-700163,,PE10FINA0000000000700163,2845.94,PEN,2026-08-25T11:26:00-05:00,TRU001,ATM,70000163,4556000000000163,2026-08-25T11:27:00-05:00,I
TXN-20260825-000165,ACC-100164,ACC-700164,PE49FINA0000000000100164,PE11FINA0000000000700164,18005.14,PEN,2026-08-25T11:28:00-05:00,TRU001,ATM,70000164,4556000000000164,2026-08-25T11:29:00-05:00,I
TXN-20260825-000166,ACC-100165,ACC-700165,PE50FINA0000000000100165,PE12FINA0000000000700165,20403.1,PEN,2026-08-25T11:30:00-05:00,TRU001,ATM,70000165,4556000000000165,2026-08-25T11:31:00-05:00,I
TXN-20260825-000167,ACC-100166,ACC-700166,PE51FINA0000000000100166,PE13FINA0000000000700166,575.32,PEN,2026-08-25T11:32:00-05:00,TRU001,ATM,70000166,4556000000000166,2026-08-25T11:33:00-05:00,I
TXN-20260825-000168,ACC-100167,ACC-700167,PE52FINA0000000000100167,PE14FINA0000000000700167,1066.8,PEN,2026-08-25T11:34:00-05:00,TRU001,ATM,70000167,4556000000000167,2026-08-25T11:35:00-05:00,I
TXN-20260825-000169,ACC-100168,ACC-700168,PE53FINA0000000000100168,PE15FINA0000000000700168,7933.03,PEN,2026-08-25T11:36:00-05:00,TRU001,ATM,70000168,4556000000000168,2026-08-25T11:37:00-05:00,I
TXN-20260825-000001,ACC-100169,ACC-700169,PE54FINA0000000000100169,PE16FINA0000000000700169,4825.22,PEN,2026-08-25T11:38:00-05:00,TRU001,ATM,70000169,4556000000000169,2026-08-25T11:39:00-05:00,I
TXN-20260825-000171,ACC-100170,ACC-700170,PE55FINA0000000000100170,PE17FINA0000000000700170,3499.96,USD,2026-08-25T11:40:00-05:00,TRU001,ATM,70000170,4556000000000170,2026-08-25T11:41:00-05:00,I
TXN-20260825-000172,ACC-100171,ACC-700171,PE56FINA0000000000100171,PE18FINA0000000000700171,15510.82,PEN,2026-08-25T11:42:00-05:00,TRU001,ATM,70000171,4556000000000171,2026-08-25T11:43:00-05:00,I
TXN-20260825-000173,ACC-100172,ACC-700172,PE57FINA0000000000100172,PE19FINA0000000000700172,2341.04,PEN,2026-08-25T11:44:00-05:00,TRU001,ATM,70000172,4556000000000172,2026-08-25T11:45:00-05:00,I
TXN-20260825-000174,ACC-100173,ACC-700173,PE58FINA0000000000100173,PE20FINA0000000000700173,884.23,PEN,2026-08-25T11:46:00-05:00,TRU001,ATM,70000173,4556000000000173,2026-08-25T11:47:00-05:00,I
TXN-20260825-000175,ACC-100174,ACC-700174,PE59FINA0000000000100174,PE21FINA0000000000700174,21545.46,PEN,2026-08-25T11:48:00-05:00,TRU001,ATM,70000174,4556000000000174,2026-08-25T11:49:00-05:00,I
TXN-20260825-000176,ACC-100175,ACC-700175,PE60FINA0000000000100175,PE22FINA0000000000700175,22496.94,PEN,2026-08-25T11:50:00-05:00,TRU001,ATM,70000175,4556000000000175,2026-08-25T11:51:00-05:00,I
TXN-20260825-000002,ACC-100176,ACC-700176,PE61FINA0000000000100176,PE23FINA0000000000700176,15848.37,PEN,2026-08-25T11:52:00-05:00,TRU001,ATM,70000176,4556000000000176,2026-08-25T11:53:00-05:00,I
TXN-20260825-000178,ACC-100177,ACC-700177,PE62FINA0000000000100177,PE24FINA0000000000700177,1480.09,PEN,2026-08-25T11:54:00-05:00,TRU001,ATM,70000177,4556000000000177,2026-08-25T11:55:00-05:00,I
TXN-20260825-000179,ACC-100178,ACC-700178,PE63FINA0000000000100178,PE25FINA0000000000700178,4125.74,PEN,2026-08-25T11:56:00-05:00,TRU001,ATM,70000178,4556000000000178,2026-08-25T11:57:00-05:00,I
TXN-20260825-000180,ACC-100179,ACC-700179,PE64FINA0000000000100179,PE26FINA0000000000700179,22818.13,PEN,2026-08-25T11:58:00-05:00,TRU001,ATM,70000179,4556000000000179,2026-08-25T11:59:00-05:00,I
TXN-20260825-000181,ACC-100180,ACC-700180,PE65FINA0000000000100180,PE27FINA0000000000700180,20443.26,USD,2026-08-25T12:00:00-05:00,TRU001,ATM,70000180,4556000000000180,2026-08-25T12:01:00-05:00,I
TXN-20260825-000182,ACC-100181,ACC-700181,PE66FINA0000000000100181,PE28FINA0000000000700181,19920.13,PEN,2026-08-25T12:02:00-05:00,TRU001,ATM,70000181,4556000000000181,2026-08-25T12:03:00-05:00,I
TXN-20260825-000183,ACC-100182,ACC-700182,PE67FINA0000000000100182,PE29FINA0000000000700182,16226.78,PEN,2026-08-25T12:04:00-05:00,TRU001,ATM,70000182,4556000000000182,2026-08-25T12:05:00-05:00,I
TXN-20260825-000003,ACC-100183,ACC-700183,PE68FINA0000000000100183,PE30FINA0000000000700183,21136.27,PEN,2026-08-25T12:06:00-05:00,TRU001,ATM,70000183,4556000000000183,2026-08-25T12:07:00-05:00,I
TXN-20260825-000185,ACC-100184,ACC-700184,PE69FINA0000000000100184,PE31FINA0000000000700184,20734.53,PEN,2026-08-25T12:08:00-05:00,TRU001,ATM,70000184,4556000000000184,2026-08-25T12:09:00-05:00,I
TXN-20260825-000186,ACC-100185,ACC-700185,PE70FINA0000000000100185,PE32FINA0000000000700185,19476.77,PEN,2026-08-25T12:10:00-05:00,TRU001,ATM,70000185,4556000000000185,2026-08-25T12:11:00-05:00,I
TXN-20260825-000187,ACC-100186,ACC-700186,PE71FINA0000000000100186,PE33FINA0000000000700186,961.96,PEN,2026-08-25T12:12:00-05:00,TRU001,ATM,70000186,4556000000000186,2026-08-25T12:13:00-05:00,I
TXN-20260825-000188,ACC-100187,ACC-700187,PE72FINA0000000000100187,PE34FINA0000000000700187,9098.4,PEN,2026-08-25T12:14:00-05:00,TRU001,ATM,70000187,4556000000000187,2026-08-25T12:15:00-05:00,I
TXN-20260825-000189,ACC-100188,ACC-700188,PE73FINA0000000000100188,PE35FINA0000000000700188,11129.22,PEN,2026-08-25T12:16:00-05:00,TRU001,ATM,70000188,4556000000000188,2026-08-25T12:17:00-05:00,I
TXN-20260825-000190,ACC-100189,ACC-700189,PE74FINA0000000000100189,PE36FINA0000000000700189,15538.9,PEN,2026-08-25T12:18:00-05:00,TRU001,ATM,70000189,4556000000000189,2026-08-25T12:19:00-05:00,I
TXN-20260825-000004,ACC-100190,ACC-700190,PE75FINA0000000000100190,PE37FINA0000000000700190,15475.62,USD,2026-08-25T12:20:00-05:00,TRU001,ATM,70000190,4556000000000190,2026-08-25T12:21:00-05:00,I
TXN-20260825-000192,ACC-100191,ACC-700191,PE76FINA0000000000100191,PE38FINA0000000000700191,23364.18,PEN,2026-08-25T12:22:00-05:00,TRU001,ATM,70000191,4556000000000191,2026-08-25T12:23:00-05:00,I
TXN-20260825-000193,ACC-100192,ACC-700192,PE77FINA0000000000100192,PE39FINA0000000000700192,17482.54,PEN,2026-08-25T12:24:00-05:00,TRU001,ATM,70000192,4556000000000192,2026-08-25T12:25:00-05:00,I
TXN-20260825-000194,ACC-100193,ACC-700193,PE78FINA0000000000100193,PE40FINA0000000000700193,22115.17,PEN,2026-08-25T12:26:00-05:00,TRU001,ATM,70000193,4556000000000193,2026-08-25T12:27:00-05:00,I
