transaction_id,account_from,account_to,iban_from,iban_to,amount,currency,transaction_ts,branch_id,channel,customer_document,card_number,updated_at,cdc_operation,_source_name,_source_file,_source_row
TXN-20260825-000081,ACC-100080,ACC-700080,PE54FINA0000000000100080,PE16FINA0000000000700080,10886.4,USD,2026-08-25T08:40:00-05:00,AQP001,ATM,70000080,4556000000000080,2026-08-25T08:41:00-05:00,I,atm_AQP001,atm_AQP001.csv,2
TXN-20260825-000082,ACC-100081,ACC-700081,PE55FINA0000000000100081,PE17FINA0000000000700081,6496.32,PEN,2026-08-25T08:42:00-05:00,AQP001,ATM,70000081,4556000000000081,2026-08-25T08:43:00-05:00,I,atm_AQP001,atm_AQP001.csv,3
TXN-20260825-000083,ACC-100082,ACC-700082,PE56FINA0000000000100082,PE18FINA0000000000700082,2414.94,PEN,2026-08-25T08:44:00-05:00,AQP001,ATM,70000082,4556000000000082,2026-08-25T08:45:00-05:00,I,atm_AQP001,atm_AQP001.csv,4
TXN-20260825-000084,ACC-100083,ACC-700083,PE57FINA0000000000100083,PE19FINA0000000000700083,4102.43,PEN,2026-08-25T08:46:00-05:00,AQP001,ATM,70000083,4556000000000083,2026-08-25T08:47:00-05:00,I,atm_AQP001,atm_AQP001.csv,5
TXN-20260825-000085,ACC-100084,ACC-700084,PE58FINA0000000000100084,PE20FINA0000000000700084,11173.5,PEN,2026-08-25T08:48:00-05:00,AQP001,ATM,70000084,4556000000000084,2026-08-25T08:49:00-05:00,I,atm_AQP001,atm_AQP001.csv,6
TXN-20260825-000086,ACC-100085,ACC-700085,PE59FINA0000000000100085,PE21FINA0000000000700085,10036.08,PEN,2026-08-25T08:50:00-05:00,AQP001,ATM,70000085,4556000000000085,2026-08-25T08:51:00-05:00,I,atm_AQP001,atm_AQP001.csv,7
TXN-20260825-000087,ACC-100086,ACC-700086,PE60FINA0000000000100086,PE22FINA0000000000700086,2039.07,PEN,2026-08-25T08:52:00-05:00,AQP001,ATM,70000086,4556000000000086,2026-08-25T08:53:00-05:00,I,atm_AQP001,atm_AQP001.csv,8
TXN-20260825-000088,ACC-100087,ACC-700087,PE61FINA0000000000100087,PE23FINA0000000000700087,7485.84,PEN,2026-08-25T08:54:00-05:00,AQP001,ATM,70000087,4556000000000087,2026-08-25T08:55:00-05:00,I,atm_AQP001,atm_AQP001.csv,9
TXN-20260825-000089,ACC-100088,ACC-700088,PE62FINA0000000000100088,PE24FINA0000000000700088,10321.93,PEN,2026-08-25T08:56:00-05:00,AQP001,ATM,70000088,4556000000000088,2026-08-25T08:57:00-05:00,I,atm_AQP001,atm_AQP001.csv,10
TXN-20260825-000090,ACC-100089,ACC-700089,PE63FINA0000000000100089,PE25FINA0000000000700089,15762.8,PEN,2026-08-25T08:58:00-05:00,AQP001,ATM,70000089,4556000000000089,2026-08-25T08:59:00-05:00,I,atm_AQP001,atm_AQP001.csv,11
TXN-20260825-000091,ACC-100090,ACC-700090,PE64FINA0000000000100090,PE26FINA0000000000700090,19498.57,USD,2026-08-25T09:00:00-05:00,AQP001,ATM,70000090,4556000000000090,2026-08-25T09:01:00-05:00,I,atm_AQP001,atm_AQP001.csv,12
TXN-20260825-000092,ACC-100091,ACC-700091,PE65FINA0000000000100091,PE27FINA0000000000700091,5691.46,PEN,2026-08-25T09:02:00-05:00,AQP001,ATM,70000091,4556000000000091,2026-08-25T09:03:00-05:00,I,atm_AQP001,atm_AQP001.csv,13
