transaction_id,account_from,account_to,amount,currency,transaction_ts,branch_id,channel,updated_at,cdc_operation,_source_name,_source_file,_source_row,commission,risk_score,risk_level,customer_document_hash,card_masked,iban_from_masked,iban_to_masked,debit_amount,credit_amount,batch_id,processed_at
TXN-20260825-000081,ACC-100080,ACC-700080,10886.4,USD,2026-08-25T08:40:00-05:00,AQP001,ATM,2026-08-25T08:41:00-05:00,I,atm_AQP001,atm_AQP001.csv,2,87.09,55,MEDIUM,90a8ea542bcfda865f5bbec65b4b2d37a2f739021e6170214aa1b5822667ad12,************0080,********************0080,********************0080,10886.4,10886.4,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000082,ACC-100081,ACC-700081,6496.32,PEN,2026-08-25T08:42:00-05:00,AQP001,ATM,2026-08-25T08:43:00-05:00,I,atm_AQP001,atm_AQP001.csv,3,51.97,0,LOW,02feb7d57c4a5a358801044ca547a9eec315540107065368679a62f717427132,************0081,********************0081,********************0081,6496.32,6496.32,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000083,ACC-100082,ACC-700082,2414.94,PEN,2026-08-25T08:44:00-05:00,AQP001,ATM,2026-08-25T08:45:00-05:00,I,atm_AQP001,atm_AQP001.csv,4,19.32,0,LOW,02714b2d4842a06d4ae2f506e3aa19690d83cdf13485cfbd98588ef468e29e8d,************0082,********************0082,********************0082,2414.94,2414.94,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000084,ACC-100083,ACC-700083,4102.43,PEN,2026-08-25T08:46:00-05:00,AQP001,ATM,2026-08-25T08:47:00-05:00,I,atm_AQP001,atm_AQP001.csv,5,32.82,0,LOW,178ac14ccee7e949d96896c79e3fd4318ad98fe90bf7ecd6ac6d7a1f59feef5f,************0083,********************0083,********************0083,4102.43,4102.43,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000085,ACC-100084,ACC-700084,11173.5,PEN,2026-08-25T08:48:00-05:00,AQP001,ATM,2026-08-25T08:49:00-05:00,I,atm_AQP001,atm_AQP001.csv,6,89.39,40,MEDIUM,b09e991b89471d2f2bbded9d344bfe72844302a3018c1355a5eab44f42a5abee,************0084,********************0084,********************0084,11173.5,11173.5,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000086,ACC-100085,ACC-700085,10036.08,PEN,2026-08-25T08:50:00-05:00,AQP001,ATM,2026-08-25T08:51:00-05:00,I,atm_AQP001,atm_AQP001.csv,7,80.29,40,MEDIUM,42f5144f9f3f8a9db8ffddbc384e17ccb39703c42fa32f13fadb64dff45d4a99,************0085,********************0085,********************0085,10036.08,10036.08,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000087,ACC-100086,ACC-700086,2039.07,PEN,2026-08-25T08:52:00-05:00,AQP001,ATM,2026-08-25T08:53:00-05:00,I,atm_AQP001,atm_AQP001.csv,8,16.31,0,LOW,096c10ea3ab69413297ce14337b7d87ba5933bac2deab72ff136503a06e13a05,************0086,********************0086,********************0086,2039.07,2039.07,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000088,ACC-100087,ACC-700087,7485.84,PEN,2026-08-25T08:54:00-05:00,AQP001,ATM,2026-08-25T08:55:00-05:00,I,atm_AQP001,atm_AQP001.csv,9,59.89,0,LOW,6c50a593e3e75509fdb408a1e6759b40440af115f8c56ab8a54c00a16fb0ca6d,************0087,********************0087,********************0087,7485.84,7485.84,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000089,ACC-100088,ACC-700088,10321.93,PEN,2026-08-25T08:56:00-05:00,AQP001,ATM,2026-08-25T08:57:00-05:00,I,atm_AQP001,atm_AQP001.csv,10,82.58,40,MEDIUM,5a3a3609b492c89ddaceeff2e699c084c8bfab759cb82b5175ee682a8f4d9c25,************0088,********************0088,********************0088,10321.93,10321.93,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
TXN-20260825-000090,ACC-100089,ACC-700089,15762.8,PEN,2026-08-25T08:58:00-05:00,AQP001,ATM,2026-08-25T08:59:00-05:00,I,atm_AQP001,atm_AQP001.csv,11,126.1,40,MEDIUM,95dd32df71ef3d1f6327572b39abaf0bdbb0f2284caf87d38f895f5657b29b90,************0089,********************0089,********************0089,15762.8,15762.8,DEMO-HEALTHY-001,2026-08-25T23:43:08.444994+00:00
